isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_MKFKR2C1,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR2C2,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C3,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C4,Enterobacter Cloacae Complex,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,S,,,,S,S,S,,S,,S,,,,,S,S,,,,,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C6,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C11,Enterobacter Aerogenes,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,S,,,,S,S,S,,S,,S,,,,,S,S,,,,,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C13,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,R,,S,I,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR2C14,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR2C15,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR3C2,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR3C3,Enterobacter Cloacae Complex,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR3C4,Enterobacter Cloacae Complex,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_MKFKR3C7,Enterobacter Aerogenes,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR3C10,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR3C11,Enterobacter Aerogenes,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,,,S,,,,S,S,S,,S,,S,,,,,S,S,,,,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_MKFKR3C13,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,R,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
SAL_MKFKR2C1,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,I,I,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
SAL_MKFKR2C3,Escherichia Coli,BARMM Region,LOR-TUCA KIALDAN,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR1C2,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR1C3,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR2C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR2C3,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR2C4,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR3C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGDWR3C4,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR1C2,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR1C3,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR1C4,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR1C8,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGRWR2C5,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
